operacao,p,q,custo_i,total_acessos,custo_medio
1,0,1,3,3,3.0
2,0,2,3,6,3.0
3,0,3,3,9,3.0
4,0,4,3,12,3.0
5,0,5,3,15,3.0
6,0,6,3,18,3.0
7,0,7,3,21,3.0
8,0,8,3,24,3.0
9,0,9,3,27,3.0
10,0,10,3,30,3.0
11,0,11,3,33,3.0
12,0,12,3,36,3.0
13,0,13,3,39,3.0
14,0,14,3,42,3.0
15,0,15,3,45,3.0
16,0,16,3,48,3.0
17,0,17,3,51,3.0
18,0,18,3,54,3.0
19,0,19,3,57,3.0
20,0,20,3,60,3.0
21,0,21,3,63,3.0
22,0,22,3,66,3.0
23,0,23,3,69,3.0
24,0,24,3,72,3.0
25,0,25,3,75,3.0
26,0,26,3,78,3.0
27,0,27,3,81,3.0
28,0,28,3,84,3.0
29,0,29,3,87,3.0
30,0,30,3,90,3.0
31,0,31,3,93,3.0
32,0,32,3,96,3.0
33,0,33,3,99,3.0
34,0,34,3,102,3.0
35,0,35,3,105,3.0
36,0,36,3,108,3.0
37,0,37,3,111,3.0
38,0,38,3,114,3.0
39,0,39,3,117,3.0
40,0,40,3,120,3.0
41,0,41,3,123,3.0
42,0,42,3,126,3.0
43,0,43,3,129,3.0
44,0,44,3,132,3.0
45,0,45,3,135,3.0
46,0,46,3,138,3.0
47,0,47,3,141,3.0
48,0,48,3,144,3.0
49,0,49,3,147,3.0
50,0,50,3,150,3.0
51,0,51,3,153,3.0
52,0,52,3,156,3.0
53,0,53,3,159,3.0
54,0,54,3,162,3.0
55,0,55,3,165,3.0
56,0,56,3,168,3.0
57,0,57,3,171,3.0
58,0,58,3,174,3.0
59,0,59,3,177,3.0
60,0,60,3,180,3.0
61,0,61,3,183,3.0
62,0,62,3,186,3.0
63,0,63,3,189,3.0
64,0,64,3,192,3.0
65,0,65,3,195,3.0
66,0,66,3,198,3.0
67,0,67,3,201,3.0
68,0,68,3,204,3.0
69,0,69,3,207,3.0
70,0,70,3,210,3.0
71,0,71,3,213,3.0
72,0,72,3,216,3.0
73,0,73,3,219,3.0
74,0,74,3,222,3.0
75,0,75,3,225,3.0
76,0,76,3,228,3.0
77,0,77,3,231,3.0
78,0,78,3,234,3.0
79,0,79,3,237,3.0
80,0,80,3,240,3.0
81,0,81,3,243,3.0
82,0,82,3,246,3.0
83,0,83,3,249,3.0
84,0,84,3,252,3.0
85,0,85,3,255,3.0
86,0,86,3,258,3.0
87,0,87,3,261,3.0
88,0,88,3,264,3.0
89,0,89,3,267,3.0
90,0,90,3,270,3.0
91,0,91,3,273,3.0
92,0,92,3,276,3.0
93,0,93,3,279,3.0
94,0,94,3,282,3.0
95,0,95,3,285,3.0
96,0,96,3,288,3.0
97,0,97,3,291,3.0
98,0,98,3,294,3.0
99,0,99,3,297,3.0
100,0,100,3,300,3.0
101,0,101,3,303,3.0
102,0,102,3,306,3.0
103,0,103,3,309,3.0
104,0,104,3,312,3.0
105,0,105,3,315,3.0
106,0,106,3,318,3.0
107,0,107,3,321,3.0
108,0,108,3,324,3.0
109,0,109,3,327,3.0
110,0,110,3,330,3.0
111,0,111,3,333,3.0
112,0,112,3,336,3.0
113,0,113,3,339,3.0
114,0,114,3,342,3.0
115,0,115,3,345,3.0
116,0,116,3,348,3.0
117,0,117,3,351,3.0
118,0,118,3,354,3.0
119,0,119,3,357,3.0
120,0,120,3,360,3.0
121,0,121,3,363,3.0
122,0,122,3,366,3.0
123,0,123,3,369,3.0
124,0,124,3,372,3.0
125,0,125,3,375,3.0
126,0,126,3,378,3.0
127,0,127,3,381,3.0
128,0,128,3,384,3.0
129,0,129,3,387,3.0
130,0,130,3,390,3.0
131,0,131,3,393,3.0
132,0,132,3,396,3.0
133,0,133,3,399,3.0
134,0,134,3,402,3.0
135,0,135,3,405,3.0
136,0,136,3,408,3.0
137,0,137,3,411,3.0
138,0,138,3,414,3.0
139,0,139,3,417,3.0
140,0,140,3,420,3.0
141,0,141,3,423,3.0
142,0,142,3,426,3.0
143,0,143,3,429,3.0
144,0,144,3,432,3.0
145,0,145,3,435,3.0
146,0,146,3,438,3.0
147,0,147,3,441,3.0
148,0,148,3,444,3.0
149,0,149,3,447,3.0
150,0,150,3,450,3.0
151,0,151,3,453,3.0
152,0,152,3,456,3.0
153,0,153,3,459,3.0
154,0,154,3,462,3.0
155,0,155,3,465,3.0
156,0,156,3,468,3.0
157,0,157,3,471,3.0
158,0,158,3,474,3.0
159,0,159,3,477,3.0
160,0,160,3,480,3.0
161,0,161,3,483,3.0
162,0,162,3,486,3.0
163,0,163,3,489,3.0
164,0,164,3,492,3.0
165,0,165,3,495,3.0
166,0,166,3,498,3.0
167,0,167,3,501,3.0
168,0,168,3,504,3.0
169,0,169,3,507,3.0
170,0,170,3,510,3.0
171,0,171,3,513,3.0
172,0,172,3,516,3.0
173,0,173,3,519,3.0
174,0,174,3,522,3.0
175,0,175,3,525,3.0
176,0,176,3,528,3.0
177,0,177,3,531,3.0
178,0,178,3,534,3.0
179,0,179,3,537,3.0
180,0,180,3,540,3.0
181,0,181,3,543,3.0
182,0,182,3,546,3.0
183,0,183,3,549,3.0
184,0,184,3,552,3.0
185,0,185,3,555,3.0
186,0,186,3,558,3.0
187,0,187,3,561,3.0
188,0,188,3,564,3.0
189,0,189,3,567,3.0
