operacao,p,q,custo_i,total_acessos,custo_medio
1,528,503,628,628,628.0
2,548,523,628,1256,628.0
3,389,414,628,1884,628.0
4,446,421,628,2512,628.0
5,552,553,628,3140,628.0
6,154,155,628,3768,628.0
7,173,174,628,4396,628.0
8,373,348,628,5024,628.0
9,567,542,628,5652,628.0
10,44,43,628,6280,628.0
11,370,345,628,6908,628.0
12,546,547,628,7536,628.0
13,204,229,628,8164,628.0
14,404,429,628,8792,628.0
15,240,215,628,9420,628.0
16,364,389,628,10048,628.0
17,612,611,628,10676,628.0
18,513,512,628,11304,628.0
19,377,376,628,11932,628.0
20,468,443,628,12560,628.0
21,410,435,628,13188,628.0
22,243,218,628,13816,628.0
23,347,322,628,14444,628.0
24,580,581,628,15072,628.0
25,188,163,628,15700,628.0
26,61,36,628,16328,628.0
27,545,546,628,16956,628.0
28,93,68,628,17584,628.0
29,84,83,628,18212,628.0
30,94,69,628,18840,628.0
31,7,8,628,19468,628.0
32,619,618,628,20096,628.0
33,314,339,628,20724,628.0
34,155,156,629,21353,628.0294117647059
35,150,175,628,21981,628.0285714285715
36,605,580,628,22609,628.0277777777778
37,118,93,628,23237,628.027027027027
38,385,360,628,23865,628.0263157894736
39,459,458,628,24493,628.025641025641
40,167,168,628,25121,628.025
41,107,108,628,25749,628.0243902439024
42,44,69,629,26378,628.047619047619
43,335,334,628,27006,628.046511627907
44,251,276,628,27634,628.0454545454545
45,196,197,628,28262,628.0444444444445
46,501,502,628,28890,628.0434782608696
47,212,187,628,29518,628.0425531914893
48,251,250,629,30147,628.0625
49,269,270,628,30775,628.0612244897959
50,332,331,628,31403,628.06
51,125,150,628,32031,628.0588235294117
52,391,416,628,32659,628.0576923076923
53,366,367,628,33287,628.0566037735849
54,65,40,628,33915,628.0555555555555
55,515,540,628,34543,628.0545454545454
56,248,273,628,35171,628.0535714285714
57,34,9,628,35799,628.0526315789474
58,480,479,628,36427,628.051724137931
59,198,173,628,37055,628.0508474576271
60,463,488,628,37683,628.05
61,111,86,628,38311,628.0491803278688
62,524,499,628,38939,628.0483870967741
63,28,27,628,39567,628.047619047619
64,323,324,628,40195,628.046875
65,198,199,630,40825,628.0769230769231
66,146,147,628,41453,628.0757575757576
67,133,158,628,42081,628.0746268656717
68,416,415,629,42710,628.0882352941177
69,103,102,628,43338,628.0869565217391
70,457,482,628,43966,628.0857142857143
71,57,82,628,44594,628.0845070422536
72,88,113,628,45222,628.0833333333334
73,535,560,628,45850,628.082191780822
74,181,180,628,46478,628.081081081081
75,605,606,630,47108,628.1066666666667
76,481,456,628,47736,628.1052631578947
77,127,102,628,48364,628.1038961038961
78,470,445,628,48992,628.1025641025641
79,229,254,629,49621,628.1139240506329
80,169,170,628,50249,628.1125
81,386,385,628,50877,628.1111111111111
82,383,384,628,51505,628.109756097561
83,153,152,628,52133,628.1084337349398
84,541,542,628,52761,628.1071428571429
85,36,37,629,53390,628.1176470588235
86,474,473,628,54018,628.1162790697674
87,126,125,628,54646,628.1149425287356
88,534,509,628,55274,628.1136363636364
89,154,129,630,55904,628.1348314606741
90,591,592,628,56532,628.1333333333333
91,161,186,628,57160,628.1318681318681
92,209,234,628,57788,628.1304347826087
93,88,87,629,58417,628.1397849462365
94,61,60,630,59047,628.1595744680851
95,161,136,629,59676,628.1684210526316
96,472,447,628,60304,628.1666666666666
97,239,240,628,60932,628.1649484536083
98,102,101,630,61562,628.1836734693877
99,342,343,628,62190,628.1818181818181
100,566,565,628,62818,628.18
101,567,568,630,63448,628.1980198019802
102,41,42,628,64076,628.1960784313726
103,154,153,631,64707,628.2233009708738
104,471,496,628,65335,628.2211538461538
105,358,383,628,65963,628.2190476190476
106,423,448,628,66591,628.2169811320755
107,241,242,628,67219,628.2149532710281
108,292,293,628,67847,628.2129629629629
109,363,364,628,68475,628.2110091743119
110,361,362,628,69103,628.209090909091
111,258,283,628,69731,628.2072072072073
112,75,100,628,70359,628.2053571428571
113,61,86,631,70990,628.2300884955753
114,81,106,628,71618,628.2280701754386
115,52,27,628,72246,628.2260869565217
116,230,255,628,72874,628.2241379310345
117,309,334,628,73502,628.2222222222222
118,378,379,628,74130,628.2203389830509
119,136,111,630,74760,628.2352941176471
120,439,464,628,75388,628.2333333333333
121,532,533,628,76016,628.2314049586777
122,166,191,628,76644,628.2295081967213
123,523,522,629,77273,628.2357723577236
124,210,211,628,77901,628.233870967742
125,115,140,628,78529,628.232
126,347,346,629,79158,628.2380952380952
127,218,217,629,79787,628.2440944881889
128,561,560,628,80415,628.2421875
129,526,501,628,81043,628.2403100775193
130,174,149,631,81674,628.2615384615384
131,258,259,629,82303,628.2671755725191
132,77,52,628,82931,628.2651515151515
133,36,11,636,83567,628.3233082706766
134,307,306,628,84195,628.320895522388
135,577,552,628,84823,628.3185185185185
136,62,61,628,85451,628.3161764705883
137,450,425,628,86079,628.3138686131387
138,569,570,628,86707,628.3115942028985
139,268,293,628,87335,628.3093525179856
140,79,78,628,87963,628.3071428571428
141,233,208,628,88591,628.3049645390071
142,571,570,628,89219,628.3028169014085
143,534,535,629,89848,628.3076923076923
144,527,552,628,90476,628.3055555555555
145,224,199,628,91104,628.303448275862
146,409,408,628,91732,628.3013698630137
147,521,520,628,92360,628.2993197278912
148,621,622,628,92988,628.2972972972973
149,493,518,628,93616,628.2953020134228
150,107,106,629,94245,628.3
151,511,510,628,94873,628.2980132450331
152,298,299,628,95501,628.296052631579
153,37,62,2,95503,624.2026143790849
154,224,249,633,96136,624.2597402597403
155,405,380,628,96764,624.2838709677419
156,236,237,628,97392,624.3076923076923
157,120,121,628,98020,624.3312101910828
158,393,418,628,98648,624.3544303797469
159,206,231,628,99276,624.377358490566
160,287,288,628,99904,624.4
161,593,568,628,100532,624.4223602484471
162,34,59,629,101161,624.4506172839506
163,483,484,628,101789,624.4723926380368
164,226,227,628,102417,624.4939024390244
165,73,74,628,103045,624.5151515151515
166,276,277,630,103675,624.5481927710844
167,588,587,628,104303,624.5688622754491
168,288,313,629,104932,624.5952380952381
169,410,385,629,105561,624.6213017751479
170,506,505,628,106189,624.6411764705882
171,597,598,628,106817,624.6608187134503
172,337,312,628,107445,624.6802325581396
173,55,56,628,108073,624.6994219653179
174,300,325,628,108701,624.7183908045977
175,135,134,628,109329,624.7371428571429
176,4,29,628,109957,624.7556818181819
177,501,500,630,110587,624.7853107344632
178,438,437,628,111215,624.8033707865169
179,311,312,628,111843,624.8212290502794
180,598,599,629,112472,624.8444444444444
181,320,345,628,113100,624.8618784530387
