operacao,p,q,custo_i,total_acessos,custo_medio
1,0,1,10003,10003,10003.0
2,0,2,10004,20007,10003.5
3,0,3,10005,30012,10004.0
4,0,4,10006,40018,10004.5
5,0,5,10007,50025,10005.0
6,0,6,10008,60033,10005.5
7,0,7,10009,70042,10006.0
8,0,8,10010,80052,10006.5
9,0,9,10011,90063,10007.0
10,0,10,10012,100075,10007.5
11,0,11,10013,110088,10008.0
12,0,12,10014,120102,10008.5
13,0,13,10015,130117,10009.0
14,0,14,10016,140133,10009.5
15,0,15,10017,150150,10010.0
16,0,16,10018,160168,10010.5
17,0,17,10019,170187,10011.0
18,0,18,10020,180207,10011.5
19,0,19,10021,190228,10012.0
20,0,20,10022,200250,10012.5
21,0,21,10023,210273,10013.0
22,0,22,10024,220297,10013.5
23,0,23,10025,230322,10014.0
24,0,24,10026,240348,10014.5
25,0,25,10027,250375,10015.0
26,0,26,10028,260403,10015.5
27,0,27,10029,270432,10016.0
28,0,28,10030,280462,10016.5
29,0,29,10031,290493,10017.0
30,0,30,10032,300525,10017.5
31,0,31,10033,310558,10018.0
32,0,32,10034,320592,10018.5
33,0,33,10035,330627,10019.0
34,0,34,10036,340663,10019.5
35,0,35,10037,350700,10020.0
36,0,36,10038,360738,10020.5
37,0,37,10039,370777,10021.0
38,0,38,10040,380817,10021.5
39,0,39,10041,390858,10022.0
40,0,40,10042,400900,10022.5
41,0,41,10043,410943,10023.0
42,0,42,10044,420987,10023.5
43,0,43,10045,431032,10024.0
44,0,44,10046,441078,10024.5
45,0,45,10047,451125,10025.0
46,0,46,10048,461173,10025.5
47,0,47,10049,471222,10026.0
48,0,48,10050,481272,10026.5
49,0,49,10051,491323,10027.0
50,0,50,10052,501375,10027.5
51,0,51,10053,511428,10028.0
52,0,52,10054,521482,10028.5
53,0,53,10055,531537,10029.0
54,0,54,10056,541593,10029.5
55,0,55,10057,551650,10030.0
56,0,56,10058,561708,10030.5
57,0,57,10059,571767,10031.0
58,0,58,10060,581827,10031.5
59,0,59,10061,591888,10032.0
60,0,60,10062,601950,10032.5
61,0,61,10063,612013,10033.0
62,0,62,10064,622077,10033.5
63,0,63,10065,632142,10034.0
64,0,64,10066,642208,10034.5
65,0,65,10067,652275,10035.0
66,0,66,10068,662343,10035.5
67,0,67,10069,672412,10036.0
68,0,68,10070,682482,10036.5
