operacao,p,q,custo_i,total_acessos,custo_medio
1,528,503,3,3,3.0
2,548,523,3,6,3.0
3,389,414,3,9,3.0
4,446,421,3,12,3.0
5,552,553,3,15,3.0
6,154,155,3,18,3.0
7,173,174,3,21,3.0
8,373,348,3,24,3.0
9,567,542,3,27,3.0
10,44,43,3,30,3.0
11,370,345,3,33,3.0
12,546,547,3,36,3.0
13,204,229,3,39,3.0
14,404,429,3,42,3.0
15,240,215,3,45,3.0
16,364,389,4,49,3.0625
17,612,611,3,52,3.0588235294117645
18,513,512,3,55,3.0555555555555554
19,377,376,3,58,3.0526315789473686
20,468,443,3,61,3.05
21,410,435,3,64,3.0476190476190474
22,243,218,3,67,3.0454545454545454
23,347,322,3,70,3.0434782608695654
24,580,581,3,73,3.0416666666666665
25,188,163,3,76,3.04
26,61,36,3,79,3.0384615384615383
27,545,546,4,83,3.074074074074074
28,93,68,3,86,3.0714285714285716
29,84,83,3,89,3.0689655172413794
30,94,69,3,92,3.066666666666667
31,7,8,3,95,3.064516129032258
32,619,618,3,98,3.0625
33,314,339,3,101,3.0606060606060606
34,155,156,3,104,3.0588235294117645
35,150,175,3,107,3.057142857142857
36,605,580,4,111,3.0833333333333335
37,118,93,4,115,3.108108108108108
38,385,360,3,118,3.1052631578947367
39,459,458,3,121,3.1025641025641026
40,167,168,3,124,3.1
41,107,108,3,127,3.097560975609756
42,44,69,4,131,3.119047619047619
43,335,334,3,134,3.116279069767442
44,251,276,3,137,3.1136363636363638
45,196,197,3,140,3.111111111111111
46,501,502,3,143,3.108695652173913
47,212,187,3,146,3.106382978723404
48,251,250,4,150,3.125
49,269,270,3,153,3.122448979591837
50,332,331,3,156,3.12
51,125,150,4,160,3.1372549019607843
52,391,416,3,163,3.1346153846153846
53,366,367,3,166,3.1320754716981134
54,65,40,3,169,3.1296296296296298
55,515,540,3,172,3.1272727272727274
56,248,273,3,175,3.125
57,34,9,3,178,3.1228070175438596
58,480,479,3,181,3.1206896551724137
59,198,173,4,185,3.135593220338983
60,463,488,3,188,3.1333333333333333
61,111,86,3,191,3.1311475409836067
62,524,499,3,194,3.129032258064516
63,28,27,3,197,3.126984126984127
64,323,324,3,200,3.125
65,198,199,4,204,3.1384615384615384
66,146,147,3,207,3.1363636363636362
67,133,158,3,210,3.1343283582089554
68,416,415,3,213,3.1323529411764706
69,103,102,3,216,3.130434782608696
70,457,482,3,219,3.1285714285714286
71,57,82,3,222,3.1267605633802815
72,88,113,3,225,3.125
73,535,560,3,228,3.1232876712328768
74,181,180,3,231,3.1216216216216215
75,605,606,4,235,3.1333333333333333
76,481,456,3,238,3.1315789473684212
77,127,102,3,241,3.1298701298701297
78,470,445,3,244,3.128205128205128
79,229,254,3,247,3.1265822784810124
80,169,170,3,250,3.125
81,386,385,4,254,3.1358024691358026
82,383,384,3,257,3.1341463414634148
83,153,152,3,260,3.1325301204819276
84,541,542,3,263,3.130952380952381
85,36,37,3,266,3.1294117647058823
86,474,473,3,269,3.127906976744186
87,126,125,4,273,3.1379310344827585
88,534,509,3,276,3.1363636363636362
89,154,129,5,281,3.157303370786517
90,591,592,3,284,3.1555555555555554
91,161,186,3,287,3.1538461538461537
92,209,234,3,290,3.152173913043478
93,88,87,4,294,3.161290322580645
94,61,60,5,299,3.1808510638297873
95,161,136,4,303,3.1894736842105265
96,472,447,3,306,3.1875
97,239,240,4,310,3.195876288659794
98,102,101,3,313,3.193877551020408
99,342,343,3,316,3.191919191919192
100,566,565,3,319,3.19
101,567,568,4,323,3.198019801980198
102,41,42,3,326,3.196078431372549
103,154,153,7,333,3.233009708737864
104,471,496,3,336,3.230769230769231
105,358,383,4,340,3.238095238095238
106,423,448,3,343,3.2358490566037736
107,241,242,3,346,3.2336448598130842
108,292,293,3,349,3.2314814814814814
109,363,364,4,353,3.238532110091743
110,361,362,3,356,3.2363636363636363
111,258,283,3,359,3.234234234234234
112,75,100,3,362,3.232142857142857
113,61,86,6,368,3.256637168141593
114,81,106,3,371,3.254385964912281
115,52,27,3,374,3.252173913043478
116,230,255,3,377,3.25
117,309,334,3,380,3.247863247863248
118,378,379,3,383,3.2457627118644066
119,136,111,4,387,3.2521008403361344
120,439,464,3,390,3.25
121,532,533,3,393,3.2479338842975207
122,166,191,3,396,3.2459016393442623
123,523,522,3,399,3.2439024390243905
124,210,211,3,402,3.2419354838709675
125,115,140,3,405,3.24
126,347,346,4,409,3.246031746031746
127,218,217,3,412,3.2440944881889764
128,561,560,3,415,3.2421875
129,526,501,4,419,3.248062015503876
130,174,149,4,423,3.253846153846154
131,258,259,4,427,3.2595419847328246
132,77,52,4,431,3.265151515151515
133,36,11,6,437,3.2857142857142856
134,307,306,3,440,3.283582089552239
135,577,552,4,444,3.2888888888888888
136,62,61,8,452,3.323529411764706
137,450,425,3,455,3.321167883211679
138,569,570,3,458,3.318840579710145
139,268,293,3,461,3.316546762589928
140,79,78,3,464,3.3142857142857145
141,233,208,3,467,3.3120567375886525
142,571,570,3,470,3.3098591549295775
143,534,535,5,475,3.3216783216783217
144,527,552,4,479,3.326388888888889
145,224,199,4,483,3.331034482758621
146,409,408,3,486,3.328767123287671
147,521,520,3,489,3.326530612244898
148,621,622,3,492,3.324324324324324
149,493,518,3,495,3.3221476510067114
150,107,106,4,499,3.3266666666666667
151,511,510,3,502,3.3245033112582782
152,298,299,3,505,3.3223684210526314
153,37,62,6,511,3.3398692810457518
154,224,249,4,515,3.344155844155844
155,405,380,3,518,3.3419354838709676
156,236,237,3,521,3.33974358974359
157,120,121,3,524,3.337579617834395
158,393,418,3,527,3.3354430379746836
159,206,231,3,530,3.3333333333333335
160,287,288,3,533,3.33125
161,593,568,3,536,3.329192546583851
162,34,59,4,540,3.3333333333333335
163,483,484,3,543,3.331288343558282
164,226,227,3,546,3.3292682926829267
165,73,74,3,549,3.327272727272727
166,276,277,4,553,3.3313253012048194
167,588,587,3,556,3.3293413173652695
168,288,313,3,559,3.3273809523809526
169,410,385,5,564,3.337278106508876
170,506,505,3,567,3.335294117647059
171,597,598,3,570,3.3333333333333335
172,337,312,3,573,3.3313953488372094
173,55,56,3,576,3.3294797687861273
174,300,325,3,579,3.3275862068965516
175,135,134,3,582,3.3257142857142856
176,4,29,3,585,3.3238636363636362
177,501,500,4,589,3.327683615819209
178,438,437,3,592,3.3258426966292136
179,311,312,3,595,3.3240223463687153
180,598,599,3,598,3.3222222222222224
181,320,345,3,601,3.320441988950276
182,211,236,4,605,3.3241758241758244
183,587,562,3,608,3.3224043715846996
184,74,99,3,611,3.3206521739130435
185,473,498,3,614,3.3189189189189188
186,278,279,3,617,3.317204301075269
187,394,369,3,620,3.3155080213903743
188,123,148,3,623,3.3138297872340425
189,233,232,4,627,3.3174603174603177
190,252,277,3,630,3.3157894736842106
191,177,202,3,633,3.3141361256544504
192,160,185,3,636,3.3125
193,331,356,3,639,3.3108808290155443
194,192,191,3,642,3.3092783505154637
195,119,118,4,646,3.312820512820513
196,576,601,3,649,3.311224489795918
197,317,316,3,652,3.3096446700507616
198,462,487,3,655,3.308080808080808
199,42,43,4,659,3.3115577889447234
200,336,311,4,663,3.315
201,515,490,4,667,3.318407960199005
202,13,14,3,670,3.3168316831683167
203,210,235,5,675,3.3251231527093594
204,473,448,4,679,3.3284313725490198
205,342,341,4,683,3.3317073170731706
206,340,315,3,686,3.3300970873786406
207,413,388,3,689,3.3285024154589373
208,514,515,5,694,3.3365384615384617
209,144,143,3,697,3.334928229665072
210,146,145,4,701,3.3380952380952382
211,541,566,6,707,3.3507109004739335
212,128,103,5,712,3.358490566037736
213,184,159,3,715,3.356807511737089
214,488,489,3,718,3.3551401869158877
215,454,455,3,721,3.353488372093023
216,82,83,3,724,3.3518518518518516
217,70,45,3,727,3.3502304147465436
218,221,222,3,730,3.3486238532110093
219,241,240,5,735,3.356164383561644
220,412,411,3,738,3.3545454545454545
221,591,590,4,742,3.3574660633484164
222,592,593,6,748,3.369369369369369
223,276,301,5,753,3.376681614349776
224,452,453,3,756,3.375
225,256,255,3,759,3.3733333333333335
226,397,372,3,762,3.3716814159292037
227,201,200,3,765,3.3700440528634363
228,232,207,3,768,3.3684210526315788
229,466,465,3,771,3.3668122270742358
230,561,586,4,775,3.369565217391304
231,417,442,3,778,3.367965367965368
232,409,434,4,782,3.3706896551724137
233,238,239,4,786,3.3733905579399144
234,389,390,4,790,3.376068376068376
235,26,1,3,793,3.374468085106383
236,510,485,3,796,3.3728813559322033
237,283,282,4,800,3.3755274261603376
238,281,306,3,803,3.3739495798319328
239,449,474,6,809,3.3849372384937237
240,324,349,3,812,3.3833333333333333
241,121,146,5,817,3.3900414937759336
242,111,112,5,822,3.396694214876033
243,434,435,4,826,3.39917695473251
244,507,508,3,829,3.3975409836065573
245,103,104,5,834,3.404081632653061
246,319,294,3,837,3.402439024390244
247,455,480,4,841,3.4048582995951415
248,558,557,3,844,3.403225806451613
249,291,292,4,848,3.4056224899598395
250,553,578,3,851,3.404
251,392,391,5,856,3.410358565737052
252,552,551,5,861,3.4166666666666665
253,55,80,4,865,3.41897233201581
254,538,539,3,868,3.4173228346456694
255,367,392,4,872,3.4196078431372547
256,340,365,4,876,3.421875
257,272,297,3,879,3.4202334630350193
258,266,265,3,882,3.4186046511627906
259,401,376,3,885,3.416988416988417
260,279,280,3,888,3.4153846153846152
261,516,515,5,893,3.421455938697318
262,178,177,4,897,3.4236641221374047
263,572,571,4,901,3.425855513307985
264,154,179,7,908,3.4393939393939394
265,263,262,3,911,3.4377358490566037
266,6,31,3,914,3.43609022556391
267,323,348,5,919,3.4419475655430714
268,481,506,5,924,3.4477611940298507
269,178,179,4,928,3.449814126394052
270,526,527,8,936,3.466666666666667
271,444,469,3,939,3.4649446494464944
272,273,274,3,942,3.463235294117647
273,132,133,4,946,3.4652014652014653
274,275,300,4,950,3.4671532846715327
275,261,236,5,955,3.4727272727272727
276,344,369,3,958,3.471014492753623
277,63,38,3,961,3.4693140794223827
278,5,30,3,964,3.4676258992805757
279,301,300,4,968,3.4695340501792113
280,86,87,5,973,3.475
281,9,10,4,977,3.4768683274021353
282,344,319,5,982,3.482269503546099
283,428,427,3,985,3.480565371024735
284,400,375,3,988,3.4788732394366195
285,350,375,3,991,3.4771929824561405
286,235,236,4,995,3.479020979020979
287,337,336,4,999,3.480836236933798
288,616,615,3,1002,3.4791666666666665
289,381,380,3,1005,3.4775086505190314
290,58,59,4,1009,3.4793103448275864
291,492,493,4,1013,3.4810996563573884
292,555,556,3,1016,3.4794520547945207
293,459,434,5,1021,3.484641638225256
294,368,369,4,1025,3.4863945578231292
295,407,382,3,1028,3.4847457627118645
296,166,141,4,1032,3.4864864864864864
297,70,95,4,1036,3.4882154882154883
298,380,355,3,1039,3.4865771812080535
299,34,35,6,1045,3.4949832775919734
300,49,24,3,1048,3.493333333333333
301,126,127,7,1055,3.504983388704319
302,403,378,4,1059,3.506622516556291
303,509,484,5,1064,3.5115511551155114
304,613,588,5,1069,3.5164473684210527
305,208,207,4,1073,3.518032786885246
306,143,168,3,1076,3.5163398692810457
307,406,431,3,1079,3.514657980456026
308,263,238,5,1084,3.5194805194805197
309,595,596,3,1087,3.517799352750809
310,218,193,4,1091,3.5193548387096776
311,183,182,3,1094,3.517684887459807
312,195,220,3,1097,3.516025641025641
313,381,406,6,1103,3.523961661341853
314,64,65,4,1107,3.5254777070063694
315,371,372,3,1110,3.5238095238095237
316,531,506,4,1114,3.5253164556962027
317,218,219,5,1119,3.529968454258675
318,144,145,5,1124,3.5345911949685536
319,475,450,4,1128,3.5360501567398117
320,547,548,5,1133,3.540625
321,363,362,5,1138,3.545171339563863
322,337,362,4,1142,3.546583850931677
323,214,239,4,1146,3.5479876160990713
324,110,111,7,1153,3.558641975308642
325,600,575,3,1156,3.556923076923077
326,105,106,3,1159,3.5552147239263805
327,147,148,4,1163,3.5565749235474007
328,599,574,3,1166,3.5548780487804876
329,622,623,3,1169,3.5531914893617023
330,319,320,5,1174,3.5575757575757576
331,36,35,9,1183,3.5740181268882174
332,258,233,9,1192,3.5903614457831323
333,266,267,4,1196,3.5915915915915915
334,481,480,6,1202,3.5988023952095807
335,414,439,6,1208,3.6059701492537313
336,169,168,6,1214,3.613095238095238
337,479,478,3,1217,3.6112759643916914
338,224,223,5,1222,3.6153846153846154
339,181,182,4,1226,3.616519174041298
340,351,326,3,1229,3.614705882352941
341,466,441,4,1233,3.6158357771260996
342,85,60,8,1241,3.628654970760234
343,140,165,3,1244,3.626822157434402
344,91,90,3,1247,3.625
345,263,264,5,1252,3.628985507246377
346,188,187,4,1256,3.6300578034682083
347,446,447,4,1260,3.6311239193083575
348,607,606,3,1263,3.6293103448275863
349,341,316,3,1266,3.627507163323782
350,143,142,6,1272,3.6342857142857143
351,443,442,3,1275,3.6324786324786325
352,354,353,3,1278,3.6306818181818183
353,162,137,3,1281,3.6288951841359776
354,281,256,5,1286,3.632768361581921
355,549,574,3,1289,3.630985915492958
356,407,408,6,1295,3.6376404494382024
357,575,550,3,1298,3.6358543417366946
358,171,170,5,1303,3.6396648044692737
359,389,388,7,1310,3.649025069637883
360,390,391,8,1318,3.661111111111111
361,250,225,6,1324,3.667590027700831
362,536,537,3,1327,3.665745856353591
363,227,228,3,1330,3.6639118457300275
364,84,59,6,1336,3.67032967032967
365,139,140,4,1340,3.671232876712329
366,485,484,3,1343,3.669398907103825
367,573,598,5,1348,3.673024523160763
368,356,381,6,1354,3.6793478260869565
369,314,315,5,1359,3.682926829268293
370,299,324,5,1364,3.6864864864864866
371,370,395,4,1368,3.68733153638814
372,166,165,5,1373,3.6908602150537635
373,63,62,8,1381,3.702412868632708
374,507,506,7,1388,3.7112299465240643
375,426,425,3,1391,3.7093333333333334
376,479,454,6,1397,3.7154255319148937
377,545,570,5,1402,3.7188328912466844
378,376,375,3,1405,3.7169312169312168
379,572,597,7,1412,3.7255936675461743
380,606,581,3,1415,3.723684210526316
381,278,277,8,1423,3.7349081364829395
382,303,302,3,1426,3.7329842931937174
383,190,165,3,1429,3.731070496083551
384,230,205,4,1433,3.7317708333333335
385,175,200,4,1437,3.7324675324675325
386,529,528,4,1441,3.733160621761658
387,18,17,3,1444,3.731266149870801
388,458,457,5,1449,3.734536082474227
389,514,513,5,1454,3.7377892030848328
390,617,616,4,1458,3.7384615384615385
391,298,323,7,1465,3.7468030690537084
392,162,161,11,1476,3.7653061224489797
393,471,472,5,1481,3.768447837150127
394,81,56,5,1486,3.771573604060914
395,182,207,3,1489,3.769620253164557
396,539,564,3,1492,3.7676767676767677
397,573,572,5,1497,3.770780856423174
398,596,621,5,1502,3.7738693467336684
399,64,39,4,1506,3.774436090225564
400,571,546,8,1514,3.785
401,554,555,4,1518,3.7855361596009973
402,388,363,9,1527,3.798507462686567
403,351,376,5,1532,3.801488833746898
404,304,329,3,1535,3.7995049504950495
405,123,122,5,1540,3.802469135802469
