operacao,p,q,custo_i,total_acessos,custo_medio
1,0,1,3,3,3.0
2,0,2,4,7,3.5
3,0,3,5,12,4.0
4,0,4,6,18,4.5
5,0,5,7,25,5.0
6,0,6,8,33,5.5
7,0,7,9,42,6.0
8,0,8,10,52,6.5
9,0,9,11,63,7.0
10,0,10,12,75,7.5
11,0,11,13,88,8.0
12,0,12,14,102,8.5
13,0,13,15,117,9.0
14,0,14,16,133,9.5
15,0,15,17,150,10.0
16,0,16,18,168,10.5
17,0,17,19,187,11.0
18,0,18,20,207,11.5
19,0,19,21,228,12.0
20,0,20,22,250,12.5
21,0,21,23,273,13.0
22,0,22,24,297,13.5
23,0,23,25,322,14.0
24,0,24,26,348,14.5
25,0,25,27,375,15.0
26,0,26,28,403,15.5
27,0,27,29,432,16.0
28,0,28,30,462,16.5
29,0,29,31,493,17.0
30,0,30,32,525,17.5
31,0,31,33,558,18.0
32,0,32,34,592,18.5
33,0,33,35,627,19.0
34,0,34,36,663,19.5
35,0,35,37,700,20.0
36,0,36,38,738,20.5
37,0,37,39,777,21.0
38,0,38,40,817,21.5
39,0,39,41,858,22.0
40,0,40,42,900,22.5
41,0,41,43,943,23.0
42,0,42,44,987,23.5
43,0,43,45,1032,24.0
44,0,44,46,1078,24.5
45,0,45,47,1125,25.0
46,0,46,48,1173,25.5
47,0,47,49,1222,26.0
48,0,48,50,1272,26.5
49,0,49,51,1323,27.0
50,0,50,52,1375,27.5
51,0,51,53,1428,28.0
52,0,52,54,1482,28.5
53,0,53,55,1537,29.0
54,0,54,56,1593,29.5
55,0,55,57,1650,30.0
56,0,56,58,1708,30.5
57,0,57,59,1767,31.0
58,0,58,60,1827,31.5
59,0,59,61,1888,32.0
60,0,60,62,1950,32.5
61,0,61,63,2013,33.0
62,0,62,64,2077,33.5
63,0,63,65,2142,34.0
64,0,64,66,2208,34.5
65,0,65,67,2275,35.0
66,0,66,68,2343,35.5
67,0,67,69,2412,36.0
68,0,68,70,2482,36.5
69,0,69,71,2553,37.0
70,0,70,72,2625,37.5
71,0,71,73,2698,38.0
72,0,72,74,2772,38.5
73,0,73,75,2847,39.0
74,0,74,76,2923,39.5
75,0,75,77,3000,40.0
